1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-81.44638072,1783.428492,-998.2769718,606.1560975,-596.3950237,58.21408717,260.2872131,-287.8520807,86.48919906,230.7265258,-140.9166507,-8.270100471,279.295665,-75.19875379,-8.97492784,47.85153921,-324.7581999,-48.08156412,-181.1094538,86.68078352
389.8245417,870.2349673,-93.06257905,-112.2593977,-605.2309202,79.92424869,309.6777302,273.8198803,-280.9339144,-435.5663727,-53.35040463,238.3116935,131.4853321,-0.520739912,81.27242642,61.13842575,-167.526587,202.1872128,297.5700347,54.63775658
-33.74851419,1333.859802,49.4040024,175.6569269,-247.2304124,-336.1576817,-165.6479713,-61.69357196,-321.603595,-241.0518805,241.6734129,-108.7841169,273.4658581,139.1578136,665.3410717,-42.64883691,104.8698198,205.1803304,-20.26212711,-97.07814567
669.8336772,1575.418648,-171.1579022,605.7542856,-1330.47242,-1026.19765,326.0253782,52.37009805,-212.9341754,-139.721088,356.7326275,3.830426376,-115.3192888,32.66604322,342.6874883,-142.699701,-313.583622,198.2067351,-103.0832172,-125.2507638
178.0373243,1772.474445,-484.6738514,543.5142581,-577.2567547,-312.5714496,8.329058405,-27.497798,-704.3996628,-409.9229033,-15.46574435,57.46987648,457.4655718,227.8454546,306.9208597,137.19386,-60.65676512,151.7072154,-94.12801399,-175.3653216
886.8364402,1368.27747,-528.6621579,104.3240765,-1490.674007,-381.0826392,101.3629413,340.7007087,-129.8819727,-512.0121712,339.1709333,405.2674346,288.2028512,14.73731772,234.2181729,109.1400743,-77.74776051,-11.55850326,44.3598023,5.789994914
587.649895,1323.99713,-1171.067195,401.8476681,-936.7237054,90.41141108,-11.72079834,139.9450698,-345.6656209,-682.0151739,233.1224911,-514.4625626,126.5277669,-183.9442707,30.67951189,116.0259236,-133.1734952,318.2937955,-26.14479918,189.5261605
344.4685701,1202.36835,-943.7686077,881.9326206,-846.9147996,64.95630401,336.1830037,71.85453882,-389.2294082,-91.61057221,178.0703203,-191.7726174,387.8132986,-97.25341518,233.0533035,88.21134679,-319.6865159,119.9573597,44.03557308,26.5400593
-70.96580803,1450.296954,-1159.66951,421.0908659,-601.7593361,375.068951,471.6560393,-99.06479043,-514.7961753,195.6776781,195.8063024,-53.90144002,319.8396853,82.04183967,393.4736552,-21.51005749,-332.0521268,121.468123,59.00600787,-208.1747618
-164.2860477,1902.57787,-812.8932458,286.6472581,-800.988047,-282.9647947,-94.20859942,283.0675064,16.4223682,135.9657203,373.7563109,-205.3778033,430.1755769,-176.236654,-86.5989064,221.0846535,140.0051338,281.9338822,-143.2507855,107.9256121
311.3337064,1609.516259,-997.8511839,450.0073123,-972.4938463,326.7301816,359.6248095,30.59365156,-445.2960127,-124.0827765,-20.12499775,-4.260478441,503.5734764,82.12945974,237.843194,-299.8966912,-220.79298,158.7292396,309.1454857,210.267696
3.552733551,1645.949074,-29.272695,-207.7556578,-1207.659428,-322.4876533,20.88555624,-107.9673896,-65.36140745,-435.4956315,377.6096134,138.6696051,381.8912554,-384.4665838,82.7617456,123.0773402,-164.6908735,264.7498138,-143.3519511,-338.7720425
224.903158,1661.507636,79.61446151,-189.5022782,-1192.566155,-692.7834706,17.35876101,179.5365559,-169.2733549,380.3727377,103.296748,372.3564114,-25.46615701,-100.2931897,-3.156629232,264.3456873,-124.7127338,413.0435925,-141.6264244,-89.93923223
921.4828874,1005.385511,-1069.258022,564.5430367,-1582.333007,-177.9997501,1.532251737,-113.1826534,-130.1035183,-237.2282006,76.46407363,-46.18194663,311.3359528,-138.9988063,73.10449314,216.7152872,-148.0468328,148.2588013,-30.30696537,265.0996273
