1,2,3,4,5,6,7,8,9,10
-1082.131686,-312.6788188,1358.612646,-442.4469769,941.9358562,-92.74407665,233.671526,-29.53951522,206.9050362,279.93434
-562.1079791,-822.9520883,1032.901644,-773.214804,314.2593989,-44.23506423,463.8927235,42.10351185,-0.2967801,408.2010662
-145.9117447,-1798.431946,1719.282296,216.5641663,996.9956554,-874.1168165,-41.38997528,-184.5099441,151.7888761,-54.53945464
-198.9626773,-1127.859786,772.6164132,-1750.964847,785.3392422,-552.4726418,-135.576137,-941.1418237,-147.6764053,-62.75481212
790.6926133,-923.132294,1119.967229,-32.33387637,569.0521944,-483.4149552,139.5433466,-753.954159,-140.2527819,91.01830352
-728.8022765,-1618.663398,1852.707436,-514.903241,163.917863,-570.9008889,296.8616655,-238.2709591,-230.705521,111.9018814
-424.6184786,402.9636767,986.7468604,-573.0758382,259.2584909,-371.1168782,-156.4464538,-113.8435145,-162.0152763,-31.21240226
-388.2042417,-640.0131815,2221.140529,-161.0370561,863.6752575,-978.9605474,-309.3295241,129.9843417,288.9658343,70.82452731
-75.73754914,-727.6502906,1384.377422,-1799.84589,595.8474825,-923.7083046,-215.2522634,-55.80943314,45.72624666,107.2895611
34.69031279,-819.0900234,1366.677533,336.2245882,649.8703323,540.1400473,-241.0875758,146.14945,27.20715517,247.3362933
2.760417809,208.143444,1513.493017,-287.3936888,870.7985706,-296.2656769,-74.00665264,441.2949294,-122.5806431,218.9443763
-560.3319782,-411.7095023,1585.762383,-436.2783222,1136.626202,-357.0107669,-116.3250393,351.6282883,-358.3732108,151.7421536
-308.3578683,-1374.593202,1351.958392,431.6366727,1011.212047,-1034.348085,-378.7770652,-129.7570147,448.4440614,72.72733968
-431.9828145,-658.5449553,2025.457389,-277.5874167,1034.97422,-522.3804054,-64.85926812,335.3612935,95.14592998,122.0825718
-1142.176302,-559.461298,416.7770302,-76.03047198,-27.8502093,-638.1748747,-402.5278731,-408.4951509,191.6737642,478.2348344
404.0695733,-524.3927126,646.0510784,-330.8903744,379.4838319,153.1433414,-221.8107081,-505.2778916,477.2506242,683.6907199
-334.9501263,-1110.826332,2235.28299,427.9687842,43.38170292,-485.7288928,-436.3968272,-106.9700465,380.7616994,206.7713374
-255.4413182,332.5092568,2042.674556,-270.6910427,674.5878481,-632.8922041,-327.4296621,298.9013751,251.4013061,113.5057746
-53.79093139,-319.9316453,1756.47181,355.8925114,322.914671,-352.1961399,-466.8092864,-260.3962598,8.434755446,274.9300578
-747.7980928,83.57135394,1488.875512,-377.8837274,978.4308832,-84.97021575,129.6399464,191.8960844,-204.322683,-26.96535724
-934.7138354,-1079.08086,1963.279248,72.61364036,816.1921663,597.4901744,-117.8277901,-130.1257178,254.6789838,93.22088321
-472.6565633,-1787.771107,622.2952967,-149.7091179,677.6302111,249.5251278,-235.1388518,-1102.804502,-570.6129654,31.26467605
-1377.533319,-1017.6144,1117.979568,145.0527843,921.0906722,540.1063942,-218.2709869,-146.7359715,299.9237903,402.6855378
658.5029681,-553.1051827,1824.240757,-261.5759065,443.1525111,-248.6535338,-588.9022757,-395.5150202,-373.0444078,593.1075438
-1687.253639,-1162.646516,1072.252195,-99.81492512,156.5690649,7.460966949,-710.3367117,-766.7614041,7.170037878,556.5421249
