1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1082.131686,-312.6788188,1358.612646,-442.4469769,941.9358562,-92.74407665,233.671526,-29.53951522,206.9050362,279.93434,359.7767314,-84.96308645,412.7667909,-240.7170984,147.3306829,539.801744,-58.35267698,-320.75312,-33.4134873,-179.727476
-562.1079791,-822.9520883,1032.901644,-773.214804,314.2593989,-44.23506423,463.8927235,42.10351185,-0.2967801,408.2010662,570.974073,299.9442472,-199.5610336,-87.01803232,-417.2314169,3.795998899,25.28253344,197.737517,-28.1802689,520.753349
-145.9117447,-1798.431946,1719.282296,216.5641663,996.9956554,-874.1168165,-41.38997528,-184.5099441,151.7888761,-54.53945464,-8.196519314,145.8873148,321.628817,110.3791652,-60.46328138,180.7568726,121.9716608,26.54298012,-39.56486091,26.54495731
-198.9626773,-1127.859786,772.6164132,-1750.964847,785.3392422,-552.4726418,-135.576137,-941.1418237,-147.6764053,-62.75481212,133.9754721,-337.3331596,-133.4840799,-425.3233696,206.1871949,603.1355808,-275.351161,178.2796431,325.9987597,205.3228542
790.6926133,-923.132294,1119.967229,-32.33387637,569.0521944,-483.4149552,139.5433466,-753.954159,-140.2527819,91.01830352,64.68594169,123.9857933,-26.53325957,-454.0991075,200.9287124,247.218736,118.297004,428.7888501,145.5056056,455.811565
-728.8022765,-1618.663398,1852.707436,-514.903241,163.917863,-570.9008889,296.8616655,-238.2709591,-230.705521,111.9018814,436.1916351,-29.69778797,-424.4652529,69.88008451,-50.95582177,277.3226814,313.6082534,275.3400483,-386.7654418,-270.0527885
-424.6184786,402.9636767,986.7468604,-573.0758382,259.2584909,-371.1168782,-156.4464538,-113.8435145,-162.0152763,-31.21240226,-87.04657482,530.6403092,-563.2706107,-262.7436845,261.6595368,427.4976008,-59.58183015,-23.88665164,-376.2911049,-4.360163987
-388.2042417,-640.0131815,2221.140529,-161.0370561,863.6752575,-978.9605474,-309.3295241,129.9843417,288.9658343,70.82452731,-369.9717365,-260.050653,349.9114741,-232.5427045,-181.3502932,116.216641,-250.3354905,183.2761292,-37.26967336,43.10103518
-75.73754914,-727.6502906,1384.377422,-1799.84589,595.8474825,-923.7083046,-215.2522634,-55.80943314,45.72624666,107.2895611,-150.6595835,-423.8829725,-145.8800817,49.48359344,-96.33704659,384.3223657,162.396522,79.04011822,-236.593634,273.5190079
34.69031279,-819.0900234,1366.677533,336.2245882,649.8703323,540.1400473,-241.0875758,146.14945,27.20715517,247.3362933,407.0022044,-541.9925797,-147.1224259,107.1378257,-138.4543041,391.6064707,108.3072477,376.1750258,-45.79152966,-46.14798216
2.760417809,208.143444,1513.493017,-287.3936888,870.7985706,-296.2656769,-74.00665264,441.2949294,-122.5806431,218.9443763,289.5490937,-265.9346372,-89.46652661,77.32770102,340.853418,413.3205003,-20.66792795,91.21009016,144.0014039,298.4710225
-560.3319782,-411.7095023,1585.762383,-436.2783222,1136.626202,-357.0107669,-116.3250393,351.6282883,-358.3732108,151.7421536,58.96129566,-200.5127936,302.2222581,145.4379114,193.7956042,130.3555513,-150.8245816,264.2802755,59.25367754,-165.6470318
-308.3578683,-1374.593202,1351.958392,431.6366727,1011.212047,-1034.348085,-378.7770652,-129.7570147,448.4440614,72.72733968,539.8937168,95.18474011,470.9091928,-40.77797908,-187.6613183,164.7938201,40.17477253,-274.731097,13.41924418,182.3469189
-431.9828145,-658.5449553,2025.457389,-277.5874167,1034.97422,-522.3804054,-64.85926812,335.3612935,95.14592998,122.0825718,70.95794006,-266.2868421,432.2494864,140.4550706,-16.25097782,127.7353704,-139.0283369,260.835972,158.1942265,-279.3754026
-1142.176302,-559.461298,416.7770302,-76.03047198,-27.8502093,-638.1748747,-402.5278731,-408.4951509,191.6737642,478.2348344,72.48280162,-161.8185569,-106.00243,317.2713798,-46.40286268,51.26966071,46.89545357,66.1043569,171.0819742,221.3033402
404.0695733,-524.3927126,646.0510784,-330.8903744,379.4838319,153.1433414,-221.8107081,-505.2778916,477.2506242,683.6907199,356.8278333,-83.83614277,-163.8113147,-64.20749435,-89.79468596,231.5805655,-44.68095757,152.3875805,-397.6153112,-75.08665014
-334.9501263,-1110.826332,2235.28299,427.9687842,43.38170292,-485.7288928,-436.3968272,-106.9700465,380.7616994,206.7713374,-276.2463333,-65.62132063,-8.752933431,-446.3197915,150.3218191,65.49187533,-402.4536139,-20.80311412,-319.412786,244.8820819
-255.4413182,332.5092568,2042.674556,-270.6910427,674.5878481,-632.8922041,-327.4296621,298.9013751,251.4013061,113.5057746,67.0653665,-121.1097215,-9.088772409,-271.0854317,296.1876652,448.4418287,-267.2846245,-133.2851945,-125.7331841,172.8248444
-53.79093139,-319.9316453,1756.47181,355.8925114,322.914671,-352.1961399,-466.8092864,-260.3962598,8.434755446,274.9300578,424.8301495,-175.647657,-514.0370495,39.95095319,-70.91451824,65.46885164,-182.6078725,532.6731579,-207.209397,-155.8271164
-747.7980928,83.57135394,1488.875512,-377.8837274,978.4308832,-84.97021575,129.6399464,191.8960844,-204.322683,-26.96535724,416.3626679,-75.80037688,-85.90599663,223.0687888,176.111886,390.3138167,-188.0824323,-0.40520339,2.052233266,76.78058789
-934.7138354,-1079.08086,1963.279248,72.61364036,816.1921663,597.4901744,-117.8277901,-130.1257178,254.6789838,93.22088321,-394.9178719,-51.80548251,-669.1593409,-98.33270846,4.705547969,152.0343622,239.4775833,6.608938108,60.12210248,368.7336905
-472.6565633,-1787.771107,622.2952967,-149.7091179,677.6302111,249.5251278,-235.1388518,-1102.804502,-570.6129654,31.26467605,447.8666505,171.3272596,121.3457467,142.5693511,341.6642627,469.6146979,-84.16032106,-129.1622808,-142.428885,115.1677988
-1377.533319,-1017.6144,1117.979568,145.0527843,921.0906722,540.1063942,-218.2709869,-146.7359715,299.9237903,402.6855378,-328.2645034,155.5865241,-313.9155474,150.960095,84.19311184,84.33919955,-32.83992292,205.6719758,48.60770759,102.8486144
